id,name,artist_popularity,followers,genre
014WIDx7H4BRCHB1faiisK,Los Tucanes De Tijuana,74,2797627,banda
014Y8i0M3nKnlnzFuTjaNj,Sunday Sashimi,16,37,
015kFmuENXr36WBudvDy21,Malik Rashaun,4,24,
017wjSz9y5GzPqrtgvixZz,Ryan Maloney,0,20,
018AAYUmuPBuHZPJRk88aH,YNL TRELL,22,22,
019gRg7DezPMbaI1xRZD6W,Bbyafricka,24,11567,
019vAUtAHmXf4PY9vMUbkW,Riya Jain,0,2,
01a4QP7rplBfhhU1WF7xQ9,St Jsn,1,103,
01Aa9c1vgUNtDwkMZOrTBN,Bankroll Swole YGK,1,39,
01aPtBidZQ8Ym5dFh6xw2F,Soulkid #1,16,564,
01B1XBJtc72MlQq91ZUEgl,School Damage,2,1397,melbourne indie
01BoJ4Yh73CBtrb9goIzFp,Ian Usher,0,2,
01Bon7eWAMoxRc4HFsP7Uj,Smokey Mike & The god-king,3,503,
01buTDfh4qo8wbcUt9Enly,Mac Wiseman,27,9295,bluegrass
01C1S8F2xPDOurrwexiz78,BLED,8,65,
01C8gGSy00yG51FOfWzGpT,Nuz,12,4281,k-indie
01CJL3GiMJD5rNBm5Ams7i,Alice,19,47,
01CZ9pAfSxbCTkIeweKPmN,Snoopy Ato,0,3,
01Er12nK5rrnHx8usFPJAs,Derek Fiechter,53,51587,middle earth
01f4yIjVL4v0QHZ5oYjZya,maak,13,18,
01Gj5vVqMU9I4Ut6Xl8Duu,Lucica,3,15,
01Gw3CoVNDDU2oWS7bBHxl,Houston (UK),0,15,
01hCLRl70h9DYzbSmjze8y,Mariah's Pop,7,803,
01HnuSb4dfUhYxxz7QXNKf,Vansh Bhatia,19,29,
01I5kwfq2KfWsIEj983YSr,hatsune,0,33,
01iBGqeIP82ClBsWKXEW1O,Natty Lou,15,916,
01ieKxJNOeCZUeyePdaITI,RedbeamAsad,17,12,
01j1tgusZmVecaU1DEiCm3,Elkhorn,5,2010,american primitive
01jkLnTJY3oEwWZwFp6lvp,Jay sisko,0,3,
01k2sQi0QglbKPINlMTyJs,zentero,0,0,
01kfk48kMY12cRGHS9KVuc,Thom Morecroft,14,422,
01KfYEhs3fxnMppWEot3tT,Koplo Official,0,0,
01KhCk3LxZ60TnXjqdY5VI,Internal Yoga,21,266,yoga
01Klv5UWR4kUdjvJ1kErhY,JLPSARCHIVE,3,13,
01L7D7H3GlENe2P1iXOVbb,Phxnkmxnia,17,596,aggressive phonk
01MuRqtob7aXLHxrPpIsQU,Bloom,13,995,
01NAxxCYdCfyVzs9tN9LXC,Adele Masone,1,0,
01NuIisQbEWXsMC7Y8reRr,Ringer Tones,0,164,
01O6qxIrBMxnALWGgrKmJW,Zuli Jr.,17,5745,
01R2LnZF28deB6o9a9eMcf,Vix Beats,0,0,
01SFMh5cJ87XZddBiLE72v,GON RMX,38,33567,rkt
01T4IrGCKjKevnPyxu4qXX,Natasha Neely,0,25,
01TdF2ZEvA91OvXXuJfQfQ,Joe Layne,29,6405,
01U1qANIKrDInTJvBnE4zm,Meghan Sheppards,0,2,
01uFmntCHwOW438t7enYOO,Sunny and The Black Pack,15,27384,
01uxoV1dVIM5Vp6MDK5JtJ,Lyca Tone,8,91,
01v1xej2kVYSYkQKtkgRKq,Cheyenne Jackson & Scott Alan,0,76,
01v30pS2isVG45YhPwUxRx,EVA POP,2,110,
01VcyQvzvcqAAE6OSyFFTK,L'avis G821,1,254,
01vTLPpedRznvVInnuz3WS,Maxwell1010,29,385,
01Vxck77fZCKAcaNZrJeBP,Karaoke Studio Sessions,0,3,
01Vypovj17RgAhmtHdYbW6,李寒山,0,1,
01W8kYNqFHyKicPfR0pLwO,England Dan & John Ford Coley,55,307517,mellow gold
01Wmg7XstQ0wWSf5gX0gIc,Roddei,10,808,
01wUewSpHKR5mQj4OnAAWb,Kaiden Moore,1,0,
01yG2HQIznoARikxgWDwPd,Jay Tarver,0,3,
01YRrPzg1ymNo8vt5jiof6,Junior Moosey,0,0,
01Z7AZDZJ2eQ3SsqsMxaD4,Anime Ringtones,35,9491,
01ZbWvEnyCgQ6XYxFwAkAO,BREEZUS SHAKUR,0,1,
01ZIgVLTY1ThUzuoVTBDvg,Towkeeyo Cee,11,6,
01Zk9dhjhxQNqje6GrKJ3d,Prince Dre,49,31920,chicago drill
